WHO_code,WHO_label,PCU_code,PCU_label,THCC_distance,PCU_distance,specific,values
A02.9,"Salmonella infection, unspecified",A02.9,Salmonella infection unspecified,0,1,0, unspecified
A03.0,Shigellosis due to Shigella dysenteriae,A03.0,Shigellosis due to Shigella dysenteriae,0,0,0,Shigellosis due to Shigella dysenteriae
A03.1,Shigellosis due to Shigella flexneri,A03.1,Shigellosis due to Shigella flexneri,0,0,0,Shigellosis due to Shigella flexneri
A03.2,Shigellosis due to Shigella boydii,A03.2,Shigellosis due to Shigella boydii,0,0,0,Shigellosis due to Shigella boydii
A03.3,Shigellosis due to Shigella sonnei,A03.3,Shigellosis due to Shigella sonnei,0,0,0,Shigellosis due to Shigella sonnei
A03.8,Other shigellosis,A03.8,Other shigellosis,0,0,0,Other shigellosis
A03.9,"Shigellosis, unspecified",A03.9,Shigellosis unspecified,0,1,0,Shigellosis
A03.9,"Shigellosis, unspecified",A03.9,Shigellosis unspecified,0,1,-1,","
A03.9,"Shigellosis, unspecified",A03.9,Shigellosis unspecified,0,1,0, unspecified
A04.0,Enteropathogenic Escherichia coli infection,A04.0,Enteropathogenic Escherichia coli infection,0,0,0,Enteropathogenic Escherichia coli infection
A04.1,Enterotoxigenic Escherichia coli infection,A04.1,Enterotoxigenic Escherichia coli infection,0,0,0,Enterotoxigenic Escherichia coli infection
A04.2,Enteroinvasive Escherichia coli infection,A04.2,Enteroinvasive Escherichia coli infection,0,0,0,Enteroinvasive Escherichia coli infection
A04.3,Enterohaemorrhagic Escherichia coli infection,A04.3,Enterohaemorrhagic Escherichia coli infection,0,0,0,Enterohaemorrhagic Escherichia coli infection
A04.4,Other intestinal Escherichia coli infections,A04.4,Other intestinal Escherichia coli infections,0,0,0,Other intestinal Escherichia coli infections
A04.5,Campylobacter enteritis,A04.5,Campylobacter enteritis,0,0,0,Campylobacter enteritis
A04.6,Enteritis due to Yersinia enterocolitica,A04.6,Enteritis due to Yersinia enterocolitica,0,0,0,Enteritis due to Yersinia enterocolitica
A04.7,Enterocolitis due to Clostridium difficile,A04.7,Enterocolitis due to Clostridium difficile,1,0,0,Enterocolitis due to Clostridium difficile
A04.8,Other specified bacterial intestinal infections,A04.8,Other specified bacterial intestinal infections,0,0,0,Other specified bacterial intestinal infections
A04.9,"Bacterial intestinal infection, unspecified",A04.9,Bacterial intestinal infection unspecified,0,1,0,Bacterial intestinal infection
A04.9,"Bacterial intestinal infection, unspecified",A04.9,Bacterial intestinal infection unspecified,0,1,-1,","
A04.9,"Bacterial intestinal infection, unspecified",A04.9,Bacterial intestinal infection unspecified,0,1,0, unspecified
A05.0,Foodborne staphylococcal intoxication,A05.0,Foodborne staphylococcal intoxication,0,0,0,Foodborne staphylococcal intoxication
A05.1,Botulism,A05.1,Botulism,0,0,0,Botulism
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2,Foodborne Clostridium perfringens [Clostridium welchii],0,13,0,Foodborne Clostridium perfringens [Clostridium welchii]
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2,Foodborne Clostridium perfringens [Clostridium welchii],0,13,-1, intoxication
A05.3,Foodborne Vibrio parahaemolyticus intoxication,A05.3,Foodborne Vibrio parahaemolyticus intoxication,0,0,0,Foodborne Vibrio parahaemolyticus intoxication
A05.4,Foodborne Bacillus cereus intoxication,A05.4,Foodborne Bacillus cereus intoxication,0,0,0,Foodborne Bacillus cereus intoxication
A05.8,Other specified bacterial foodborne intoxications,A05.8,Other specified bacterial foodborne intoxications,0,0,0,Other specified bacterial foodborne intoxications
A05.9,"Bacterial foodborne intoxication, unspecified",A05.9,Bacterial foodborne intoxication unspecified,0,1,0,Bacterial foodborne intoxication
A05.9,"Bacterial foodborne intoxication, unspecified",A05.9,Bacterial foodborne intoxication unspecified,0,1,-1,","
A05.9,"Bacterial foodborne intoxication, unspecified",A05.9,Bacterial foodborne intoxication unspecified,0,1,0, unspecified
A06.0,Acute amoebic dysentery,A06.0,Acute amoebic dysentery,0,0,0,Acute amoebic dysentery
A06.1,Chronic intestinal amoebiasis,A06.1,Chronic interstinal amoebiasis,0,1,0,Chronic inte
A06.1,Chronic intestinal amoebiasis,A06.1,Chronic interstinal amoebiasis,0,1,1,r
A06.1,Chronic intestinal amoebiasis,A06.1,Chronic interstinal amoebiasis,0,1,0,stinal amoebiasis
A06.2,Amoebic nondysenteric colitis,A06.2,Amoebic nondysenteric colitis,0,0,0,Amoebic nondysenteric colitis
A06.3,Amoeboma of intestine,A06.3,Amoeboma of intestine,0,0,0,Amoeboma of intestine
A06.4,Amoebic liver abscess (K77.0 *),A06.4,Amoebic liver abscess,1,10,0,Amoebic liver abscess
A06.4,Amoebic liver abscess (K77.0 *),A06.4,Amoebic liver abscess,1,10,-1, (K77.0 *)
A06.5,Amoebic lung abscess (J99.8 *),A06.5,Amoebic lung abscess (J998*),1,2,0,Amoebic lung abscess (J99
A06.5,Amoebic lung abscess (J99.8 *),A06.5,Amoebic lung abscess (J998*),1,2,-1,.8 
A06.5,Amoebic lung abscess (J99.8 *),A06.5,Amoebic lung abscess (J998*),1,2,1,8
A06.5,Amoebic lung abscess (J99.8 *),A06.5,Amoebic lung abscess (J998*),1,2,0,*)
A06.6,Amoebic brain abscess (G07 *),A06.6,Amoebic brain abscess (G07*),1,1,0,Amoebic brain abscess (G07
A06.6,Amoebic brain abscess (G07 *),A06.6,Amoebic brain abscess (G07*),1,1,-1, 
A06.6,Amoebic brain abscess (G07 *),A06.6,Amoebic brain abscess (G07*),1,1,0,*)
A06.7,Cutaneous amoebiasis,A06.7,Cutaneous amoebiasis,0,0,0,Cutaneous amoebiasis
A06.8,Amoebic infection of other sites,A06.8,Amoebic infection of other sites,0,0,0,Amoebic infection of other sites
A06.9,"Amoebiasis, unspecified",A06.9,Amoebiasis unspecified,0,1,0,Amoebiasis
A06.9,"Amoebiasis, unspecified",A06.9,Amoebiasis unspecified,0,1,-1,","
A06.9,"Amoebiasis, unspecified",A06.9,Amoebiasis unspecified,0,1,0, unspecified
A07.0,Balantidiasis,A07.0,Balantidiasis,0,0,0,Balantidiasis
A07.1,Giardiasis [lambliasis],A07.1,Giardiasis [lambliasis],0,0,0,Giardiasis [lambliasis]
A07.2,Cryptosporidiosis,A07.2,Cryptosporidiosis,0,0,0,Cryptosporidiosis
A07.3,Isosporiasis,A07.3,Isosporiasis,0,0,0,Isosporiasis
A07.8,Other specified protozoal intestinal diseases,A07.8,Other specified protozoal intestinal diseases,0,0,0,Other specified protozoal intestinal diseases
A07.9,"Protozoal intestinal disease, unspecified",A07.9,Protozoal intestinal disease unspecified,0,1,0,Protozoal intestinal disease
A07.9,"Protozoal intestinal disease, unspecified",A07.9,Protozoal intestinal disease unspecified,0,1,-1,","
A07.9,"Protozoal intestinal disease, unspecified",A07.9,Protozoal intestinal disease unspecified,0,1,0, unspecified
A08.0,Rotaviral enteritis,A08.0,Rotaviral enteritis,0,0,0,Rotaviral enteritis
A08.1,Acute gastroenteropathy due to Norwalk agent,A08.1,Acute gestroenteropathy due to Norwalk agent,0,1,0,Acute g
A08.1,Acute gastroenteropathy due to Norwalk agent,A08.1,Acute gestroenteropathy due to Norwalk agent,0,1,-1,a
A08.1,Acute gastroenteropathy due to Norwalk agent,A08.1,Acute gestroenteropathy due to Norwalk agent,0,1,1,e
A08.1,Acute gastroenteropathy due to Norwalk agent,A08.1,Acute gestroenteropathy due to Norwalk agent,0,1,0,stroenteropathy due to Norwalk agent
A08.2,Adenoviral enteritis,A08.2,Adenoviral enteritis,0,0,0,Adenoviral enteritis
A08.3,Other viral enteritis,A08.3,Other viral enteritis,0,0,0,Other viral enteritis
A08.4,"Viral intestinal infection, unspecified",A08.4,Viral intestinal infection unspecified,0,1,0,Viral intestinal infection
A08.4,"Viral intestinal infection, unspecified",A08.4,Viral intestinal infection unspecified,0,1,-1,","
A08.4,"Viral intestinal infection, unspecified",A08.4,Viral intestinal infection unspecified,0,1,0, unspecified
A08.5,Other specified intestinal infections,A08.5,Other specified intestinal infections,0,0,0,Other specified intestinal infections
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15.0,Tuberculosis of lung confirmed by sputum microscopy with or without culture,22,1,0,Tuberculosis of lung
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15.0,Tuberculosis of lung confirmed by sputum microscopy with or without culture,22,1,-1,","
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15.0,Tuberculosis of lung confirmed by sputum microscopy with or without culture,22,1,0, confirmed by sputum microscopy with or without culture
A15.1,"Tuberculosis of lung, confirmed by culture only",A15.1,Tuberculosis of lung confirmed by culture only,0,1,0,Tuberculosis of lung
A15.1,"Tuberculosis of lung, confirmed by culture only",A15.1,Tuberculosis of lung confirmed by culture only,0,1,-1,","
A15.1,"Tuberculosis of lung, confirmed by culture only",A15.1,Tuberculosis of lung confirmed by culture only,0,1,0, confirmed by culture only
A15.2,"Tuberculosis of lung, confirmed histologically",A15.2,Tuberculosis of lung confirmed histologically,0,1,0,Tuberculosis of lung
A15.2,"Tuberculosis of lung, confirmed histologically",A15.2,Tuberculosis of lung confirmed histologically,0,1,-1,","
A15.2,"Tuberculosis of lung, confirmed histologically",A15.2,Tuberculosis of lung confirmed histologically,0,1,0, confirmed histologically
A15.3,"Tuberculosis of lung, confirmed by unspecified means",A15.3,Tuberculosis of lung confirmed by unspecified means,0,1,0,Tuberculosis of lung
A15.3,"Tuberculosis of lung, confirmed by unspecified means",A15.3,Tuberculosis of lung confirmed by unspecified means,0,1,-1,","
A15.3,"Tuberculosis of lung, confirmed by unspecified means",A15.3,Tuberculosis of lung confirmed by unspecified means,0,1,0, confirmed by unspecified means
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15.4,Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically,0,1,0,Tuberculosis of intrathoracic lymph nodes
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15.4,Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically,0,1,-1,","
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15.4,Tuberculosis of intrathoracic lymph nodes confirmed bacteriologically and histologically,0,1,0, confirmed bacteriologically and histologically
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,0,2,0,Tuberculosis of larynx
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,0,2,-1,","
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,0,2,0, trachea and bronchus
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,0,2,-1,","
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,Tuberculosis of larynx trachea and bronchus confirmed bacteriologically and histologically,0,2,0, confirmed bacteriologically and histologically
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15.6,Tuberculous pleurisy confirmed bacteriologically and histologically,0,1,0,Tuberculous pleurisy
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15.6,Tuberculous pleurisy confirmed bacteriologically and histologically,0,1,-1,","
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15.6,Tuberculous pleurisy confirmed bacteriologically and histologically,0,1,0, confirmed bacteriologically and histologically
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15.7,Primary respiratory tuberculosis confirmed bacteriologically and histologically,0,1,0,Primary respiratory tuberculosis
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15.7,Primary respiratory tuberculosis confirmed bacteriologically and histologically,0,1,-1,","
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15.7,Primary respiratory tuberculosis confirmed bacteriologically and histologically,0,1,0, confirmed bacteriologically and histologically
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15.8,Other respiratory tuberculosis confirmed bacteriologically and histologically,0,1,0,Other respiratory tuberculosis
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15.8,Other respiratory tuberculosis confirmed bacteriologically and histologically,0,1,-1,","
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15.8,Other respiratory tuberculosis confirmed bacteriologically and histologically,0,1,0, confirmed bacteriologically and histologically
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15.9,Respiratory tuberculosis unspecified confirmed bacteriologically and histologically,0,1,0,Respiratory tuberculosis unspecified
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15.9,Respiratory tuberculosis unspecified confirmed bacteriologically and histologically,0,1,-1,","
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15.9,Respiratory tuberculosis unspecified confirmed bacteriologically and histologically,0,1,0, confirmed bacteriologically and histologically
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",A16.0,Tuberculosis of lung bacteriologically and histologically negative,0,1,0,Tuberculosis of lung
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",A16.0,Tuberculosis of lung bacteriologically and histologically negative,0,1,-1,","
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",A16.0,Tuberculosis of lung bacteriologically and histologically negative,0,1,0, bacteriologically and histologically negative
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",A16.1,Tuberculosis of lung bacteriological and histological examination not done,2,1,0,Tuberculosis of lung
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",A16.1,Tuberculosis of lung bacteriological and histological examination not done,2,1,-1,","
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",A16.1,Tuberculosis of lung bacteriological and histological examination not done,2,1,0, bacteriological and histological examination not done
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,Tuberculosis of lung without mention of bacteriological or histological confirmation,0,1,0,Tuberculosis of lung
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,Tuberculosis of lung without mention of bacteriological or histological confirmation,0,1,-1,","
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,Tuberculosis of lung without mention of bacteriological or histological confirmation,0,1,0, without mention of bacteriological or histological confirmation
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16.3,Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation,0,1,0,Tuberculosis of intrathoracic lymph nodes
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16.3,Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation,0,1,-1,","
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16.3,Tuberculosis of intrathoracic lymph nodes without mention of bacteriological or histological confirmation,0,1,0, without mention of bacteriological or histological confirmation
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,0,2,0,Tuberculosis of larynx
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,0,2,-1,","
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,0,2,0, trachea and bronchus
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,0,2,-1,","
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,Tuberculosis of larynx trachea and bronchus without mention of bacteriological or histological confirmation,0,2,0, without mention of bacteriological or histological confirmation
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,Tuberculos pleurisy without mention of bacteriological or histological confirmation,0,2,0,Tuberculo
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,Tuberculos pleurisy without mention of bacteriological or histological confirmation,0,2,-1,u
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,Tuberculos pleurisy without mention of bacteriological or histological confirmation,0,2,0,s pleurisy
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,Tuberculos pleurisy without mention of bacteriological or histological confirmation,0,2,-1,","
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,Tuberculos pleurisy without mention of bacteriological or histological confirmation,0,2,0, without mention of bacteriological or histological confirmation
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,0,0,0,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16.8,Other respiratory tuberculosis without mention of bacteriological or histological confirmation,0,1,0,Other respiratory tuberculosis
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16.8,Other respiratory tuberculosis without mention of bacteriological or histological confirmation,0,1,-1,","
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16.8,Other respiratory tuberculosis without mention of bacteriological or histological confirmation,0,1,0, without mention of bacteriological or histological confirmation
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,0,2,0,Respiratory tuberculosis unspecified
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,0,2,-1,","
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,0,2,0, without me
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,0,2,1,a
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,Respiratory tuberculosis unspecified without meantion of bacteriological or histological confirmation,0,2,0,ntion of bacteriological or histological confirmation
A17.0,Tuberculous meningitis (G01 *),A17.0,Tuberculous meningitis (G01*),1,1,0,Tuberculous meningitis (G01
A17.0,Tuberculous meningitis (G01 *),A17.0,Tuberculous meningitis (G01*),1,1,-1, 
A17.0,Tuberculous meningitis (G01 *),A17.0,Tuberculous meningitis (G01*),1,1,0,*)
A17.1,Meningeal tuberculoma (G07 *),A17.1,Meningeal tuberculoma (G07*),1,1,0,Meningeal tuberculoma (G07
A17.1,Meningeal tuberculoma (G07 *),A17.1,Meningeal tuberculoma (G07*),1,1,-1, 
A17.1,Meningeal tuberculoma (G07 *),A17.1,Meningeal tuberculoma (G07*),1,1,0,*)
A17.8,Other tuberculosis of nervous system,A17.8,Other tuberculosis of nervous system,0,0,0,Other tuberculosis of nervous system
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,0,Tuberculosis of nervous system
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,-1,","
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,0, unspecified (G99
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,-1,.8 
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,1,8
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)",A17.9,Tuberculosis of nervous system unspecified (G998*),1,3,0,*)
A18.0,Tuberculosis of bones and joints,A18.0,Tuberculosis of bones and joints,0,0,0,Tuberculosis of bones and joints
A18.1,Tuberculosis of genitourinary system,A18.1,Tuberculosis of genitourinary system,0,0,0,Tuberculosis of genitourinary system
A18.2,Tuberculous peripheral lymphadenopathy,A18.2,Tuberculous peripheral lymphadenopathy,0,0,0,Tuberculous peripheral lymphadenopathy
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,Tuberculosis of intestines peritoneum and mesenteric glands,0,1,0,Tuberculosis of intestines
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,Tuberculosis of intestines peritoneum and mesenteric glands,0,1,-1,","
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,Tuberculosis of intestines peritoneum and mesenteric glands,0,1,0, peritoneum and mesenteric glands
A18.4,Tuberculosis of skin and subcutaneous tissue,A18.4,Tuberculosis of skin and subcutaneous tissue,0,0,0,Tuberculosis of skin and subcutaneous tissue
A18.5,Tuberculosis of eye,A18.5,Tuberculosis of eye,0,0,0,Tuberculosis of eye
A18.6,Tuberculosis of ear,A18.6,Tuberculosis of ear,0,0,0,Tuberculosis of ear
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,0,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,-1,(
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,1,[
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,0,E35
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,-1,.1 *)
A18.7,Tuberculosis of adrenal glands (E35.1 *),A18.7,Tuberculosis of adrenal glands [E351*],3,4,1,1*]
A18.8,Tuberculosis of other specified organs,A18.8,Tuberculosis of other specified organs,0,0,0,Tuberculosis of other specified organs
A19.0,Acute miliary tuberculosis of a single specified site,A19.0,Acute miliary tuberculosis of a single specified site,0,0,0,Acute miliary tuberculosis of a single specified site
A19.1,Acute miliary tuberculosis of multiple sites,A19.1,Acute miliary tuberculosis of multiple sites,0,0,0,Acute miliary tuberculosis of multiple sites
A19.2,"Acute miliary tuberculosis, unspecified",A19.2,Acute miliary tuberculosis unspecified,0,1,0,Acute miliary tuberculosis
A19.2,"Acute miliary tuberculosis, unspecified",A19.2,Acute miliary tuberculosis unspecified,0,1,-1,","
A19.2,"Acute miliary tuberculosis, unspecified",A19.2,Acute miliary tuberculosis unspecified,0,1,0, unspecified
A19.8,Other miliary tuberculosis,A19.8,Other miliary tuberculosis,0,0,0,Other miliary tuberculosis
A19.9,"Miliary tuberculosis, unspecified",A19.9,Miliary tuberculosis unspecified,0,1,0,Miliary tuberculosis
A19.9,"Miliary tuberculosis, unspecified",A19.9,Miliary tuberculosis unspecified,0,1,-1,","
A19.9,"Miliary tuberculosis, unspecified",A19.9,Miliary tuberculosis unspecified,0,1,0, unspecified
A20.0,Bubonic plague,A20.0,Bubonic plague,0,0,0,Bubonic plague
A20.1,Cellulocutaneous plague,A20.1,Cellulocutaneous plague,0,0,0,Cellulocutaneous plague
A20.2,Pneumonic plague,A20.2,Pneumonic plague,0,0,0,Pneumonic plague
A20.3,Plague meningitis,A20.3,Plague meningitis,0,0,0,Plague meningitis
A20.7,Septicaemic plague,A20.7,Septicaemic plague,0,0,0,Septicaemic plague
A20.8,Other forms of plague,A20.8,Other forms of plague,0,0,0,Other forms of plague
A20.9,"Plague, unspecified",A20.9,Plague unspecified,0,1,0,Plague
A20.9,"Plague, unspecified",A20.9,Plague unspecified,0,1,-1,","
A20.9,"Plague, unspecified",A20.9,Plague unspecified,0,1,0, unspecified
A21.0,Ulceroglandular tularaemia,A21.0,Ulceroglandular tularaemia,0,0,0,Ulceroglandular tularaemia
A21.1,Oculoglandular tularaemia,A21.1,Oculoglandular tularaemia,0,0,0,Oculoglandular tularaemia
A21.2,Pulmonary tularaemia,A21.2,Pulmonary tularaemia,0,0,0,Pulmonary tularaemia
A21.3,Gastrointestinal tularaemia,A21.3,Gestrointestinal tularaemia,0,1,0,G
A21.3,Gastrointestinal tularaemia,A21.3,Gestrointestinal tularaemia,0,1,-1,a
A21.3,Gastrointestinal tularaemia,A21.3,Gestrointestinal tularaemia,0,1,1,e
A21.3,Gastrointestinal tularaemia,A21.3,Gestrointestinal tularaemia,0,1,0,strointestinal tularaemia
A21.7,Generalized tularaemia,A21.7,Generalized tularaemia,0,0,0,Generalized tularaemia
A21.8,Other forms of tularaemia,A21.8,Other forms of tularaemia,0,0,0,Other forms of tularaemia
