code,label,description,distance,specific,values
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Intracranial and intraspinal abscess and glanuloma in diseases classified elsewhere,1,0,anuloma in diseases classified elsewhere
G10,Huntington disease,Huntington's disease,2,0,Huntington
G10,Huntington disease,Huntington's disease,2,1,'s
G10,Huntington disease,Huntington's disease,2,0, disease
G20,Parkinson disease,Parkinson's disease,2,0,Parkinson
G20,Parkinson disease,Parkinson's disease,2,1,'s
G20,Parkinson disease,Parkinson's disease,2,0, disease
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Extrapyramidal and  movement disorders in diseases classified elsewhere,1,0,Extrapyramidal and 
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Extrapyramidal and  movement disorders in diseases classified elsewhere,1,1, 
G26,Extrapyramidal and movement disorders in diseases classified elsewhere,Extrapyramidal and  movement disorders in diseases classified elsewhere,1,0,movement disorders in diseases classified elsewhere
G92,Toxic encephalopathy,Toxic encephalpathy,1,0,Toxic encephal
G92,Toxic encephalopathy,Toxic encephalpathy,1,-1,o
G92,Toxic encephalopathy,Toxic encephalpathy,1,0,pathy
H82,Vertiginous syndromes in diseases classified elsewhere,Vertignous syndrome in diseases classified elsewhere,2,0,Vertig
H82,Vertiginous syndromes in diseases classified elsewhere,Vertignous syndrome in diseases classified elsewhere,2,-1,i
H82,Vertiginous syndromes in diseases classified elsewhere,Vertignous syndrome in diseases classified elsewhere,2,0,nous syndrome
H82,Vertiginous syndromes in diseases classified elsewhere,Vertignous syndrome in diseases classified elsewhere,2,-1,s
H82,Vertiginous syndromes in diseases classified elsewhere,Vertignous syndrome in diseases classified elsewhere,2,0, in diseases classified elsewhere
I64,"Stroke, not specified as haemorrhage or infarction","Stroke,not specified as haemorrhage or infarction",1,0,"Stroke,"
I64,"Stroke, not specified as haemorrhage or infarction","Stroke,not specified as haemorrhage or infarction",1,-1, 
I64,"Stroke, not specified as haemorrhage or infarction","Stroke,not specified as haemorrhage or infarction",1,0,not specified as haemorrhage or infarction
I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders circulatory system,3,0,Other and unspecified disorders 
I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders circulatory system,3,-1,of 
I99,Other and unspecified disorders of circulatory system,Other and unspecified disorders circulatory system,3,0,circulatory system
J60,Coalworker pneumoconiosis,Coalworker's pneumoconiosis,2,0,Coalworker
J60,Coalworker pneumoconiosis,Coalworker's pneumoconiosis,2,1,'s
J60,Coalworker pneumoconiosis,Coalworker's pneumoconiosis,2,0, pneumoconiosis
N19,Unspecified kidney failure,Unspecified renal failure,5,0,Unspecified 
N19,Unspecified kidney failure,Unspecified renal failure,5,-1,kid
N19,Unspecified kidney failure,Unspecified renal failure,5,1,re
N19,Unspecified kidney failure,Unspecified renal failure,5,0,n
N19,Unspecified kidney failure,Unspecified renal failure,5,-1,ey
N19,Unspecified kidney failure,Unspecified renal failure,5,1,al
N19,Unspecified kidney failure,Unspecified renal failure,5,0, failure
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","Sequelae of cpmplication of pregnancy, childbirth and the puerperium",1,0,Sequelae of c
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","Sequelae of cpmplication of pregnancy, childbirth and the puerperium",1,-1,o
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","Sequelae of cpmplication of pregnancy, childbirth and the puerperium",1,1,p
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","Sequelae of cpmplication of pregnancy, childbirth and the puerperium",1,0,"mplication of pregnancy, childbirth and the puerperium"
P75,Meconium ileus in cystic fibrosis (E84.1 +),Meconium ileus in cystic fibrosis (E84.1),2,0,Meconium ileus in cystic fibrosis (E84.1
P75,Meconium ileus in cystic fibrosis (E84.1 +),Meconium ileus in cystic fibrosis (E84.1),2,-1, +
P75,Meconium ileus in cystic fibrosis (E84.1 +),Meconium ileus in cystic fibrosis (E84.1),2,0,)
Y97,Environmental-pollution-related condition,Environmental -pollution-related condition,1,0,Environmental
Y97,Environmental-pollution-related condition,Environmental -pollution-related condition,1,1, 
Y97,Environmental-pollution-related condition,Environmental -pollution-related condition,1,0, -pollution-related condition
A04.7,Enterocolitis due to Clostridium difficile,"Enterocolitis due to Clostridium difficile",1,0,Enterocolitis due to Clostridium difficile
A04.7,Enterocolitis due to Clostridium difficile,"Enterocolitis due to Clostridium difficile",1,1,""
A06.4,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,0,Amoebic liver abscess (K77.0
A06.4,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,-1, 
A06.4,Amoebic liver abscess (K77.0 *),Amoebic liver abscess (K77.0*),1,0,*)
A06.5,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,0,Amoebic lung abscess (J99.8
A06.5,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,-1, 
A06.5,Amoebic lung abscess (J99.8 *),Amoebic lung abscess (J99.8*),1,0,*)
A06.6,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,0,Amoebic brain abscess (G07
A06.6,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,-1, 
A06.6,Amoebic brain abscess (G07 *),Amoebic brain abscess (G07*),1,0,*)
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,"Tuberculosis of lung, confirmed by sputum microscopy "
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,1,or bacteriologically 
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,with or without 
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,1,"
"
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Tuberculosis of lung, confirmed by sputum microscopy or bacteriologically with or without 
culture",22,0,culture
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0,Tuberculosis of lung
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,-1,","
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0, 
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,1,","
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done","Tuberculosis of lung ,bacteriological and histological examination not done",2,0,bacteriological and histological examination not done
A17.0,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,0,Tuberculous meningitis (G01
A17.0,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,-1, 
A17.0,Tuberculous meningitis (G01 *),Tuberculous meningitis (G01*),1,0,*)
A17.1,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,0,Meningeal tuberculoma (G07
A17.1,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,-1, 
A17.1,Meningeal tuberculoma (G07 *),Meningeal tuberculoma (G07*),1,0,*)
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,0,"Tuberculosis of nervous system, unspecified (G99.8"
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,-1, 
A17.9,"Tuberculosis of nervous system, unspecified (G99.8 *)","Tuberculosis of nervous system, unspecified (G99.8*)",1,0,*)
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,0,Tuberculosis of adrenal glands 
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,-1,(
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,1,[
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,0,E35.1
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,-1, 
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,0,*
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,-1,)
A18.7,Tuberculosis of adrenal glands (E35.1 *),Tuberculosis of adrenal glands [E35.1*],3,1,]
A25.9,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,0,"Rat-bite fever,"
A25.9,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,-1, 
A25.9,"Rat-bite fever, unspecified","Rat-bite fever,unspecified",1,0,unspecified
A27.9,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0,Leptospirosis
A27.9,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,-1,","
A27.9,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0, 
A27.9,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,1,","
A27.9,"Leptospirosis, unspecified","Leptospirosis ,unspecified",2,0,unspecified
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,0,"Other specified zoonotic bacterial diseases,"
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,-1, 
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases,not elsewhere classified",1,0,not elsewhere classified
A28.9,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,0,"Zoonotic bacterial disease,"
A28.9,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,-1, 
A28.9,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease,unspecified",1,0,unspecified
A30.8,Other forms of leprosy,Other form of leprosy,1,0,Other form
A30.8,Other forms of leprosy,Other form of leprosy,1,-1,s
A30.8,Other forms of leprosy,Other form of leprosy,1,0, of leprosy
A30.9,"Leprosy, unspecified","Leprosy ,unspecified",2,0,Leprosy
A30.9,"Leprosy, unspecified","Leprosy ,unspecified",2,-1,","
A30.9,"Leprosy, unspecified","Leprosy ,unspecified",2,0, 
A30.9,"Leprosy, unspecified","Leprosy ,unspecified",2,1,","
A30.9,"Leprosy, unspecified","Leprosy ,unspecified",2,0,unspecified
A32.9,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0,Listeriosis
A32.9,"Listeriosis, unspecified","Listeriosis ,unspecified",2,-1,","
A32.9,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0, 
A32.9,"Listeriosis, unspecified","Listeriosis ,unspecified",2,1,","
A32.9,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0,unspecified
A36.9,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0,Diphtheria
A36.9,"Diphtheria, unspecified","Diphtheria ,unspecified",2,-1,","
A36.9,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0, 
A36.9,"Diphtheria, unspecified","Diphtheria ,unspecified",2,1,","
A36.9,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0,unspecified
A37.9,"Whooping cough, unspecified","Whooping cough,unspecified",1,0,"Whooping cough,"
A37.9,"Whooping cough, unspecified","Whooping cough,unspecified",1,-1, 
A37.9,"Whooping cough, unspecified","Whooping cough,unspecified",1,0,unspecified
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,0,Meningococcal meningitis 
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,-1,(
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,1,[
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,0,G01
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,-1, 
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,0,*
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,-1,)
A39.0,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,1,]
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,0,Waterhouse-Friderichsen syndrome 
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,-1,(
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,1,[
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,0,E35.1
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,-1, 
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,0,*
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,-1,)
A39.1,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,1,]
A39.4,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0,Meningococcaemia
A39.4,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,-1,","
A39.4,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0, 
A39.4,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,1,","
A39.4,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0,unspecified
A39.9,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,0,"Meningococcal infection,"
A39.9,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,-1, 
A39.9,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,0,unspecified
A40.3,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,0,Sepsis due to 
A40.3,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,-1,S
A40.3,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,1,s
A40.3,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,0,treptococcus pneumoniae
A40.8,Other streptococcal sepsis,Other streptococcal Sepsis,1,0,Other streptococcal 
A40.8,Other streptococcal sepsis,Other streptococcal Sepsis,1,-1,s
A40.8,Other streptococcal sepsis,Other streptococcal Sepsis,1,1,S
A40.8,Other streptococcal sepsis,Other streptococcal Sepsis,1,0,epsis
A40.9,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,0,Streptococcal 
A40.9,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,-1,s
A40.9,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,1,S
A40.9,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,0,"epsis, unspecified"
A41.8,Other specified sepsis,Other specified Sepsis,1,0,Other specified 
A41.8,Other specified sepsis,Other specified Sepsis,1,-1,s
A41.8,Other specified sepsis,Other specified Sepsis,1,1,S
A41.8,Other specified sepsis,Other specified Sepsis,1,0,epsis
A48.1,Legionnaires disease,Legionnaires' disease,1,0,Legionnaires
A48.1,Legionnaires disease,Legionnaires' disease,1,1,'
A48.1,Legionnaires disease,Legionnaires' disease,1,0, disease
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,0,Nonpneumonic Legionnaires
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,1,'
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,0, disease [Pontiac fever]
A48.3,Toxic shock syndrome,Tixic shock syndrome,1,0,T
A48.3,Toxic shock syndrome,Tixic shock syndrome,1,-1,o
A48.3,Toxic shock syndrome,Tixic shock syndrome,1,1,i
A48.3,Toxic shock syndrome,Tixic shock syndrome,1,0,xic shock syndrome
A49.0,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,0,"Staphylococcal infection,"
A49.0,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,-1, 
A49.0,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,0,unspecified site
A49.1,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,Streptococcal 
A49.1,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,-1,and enterococcal 
A49.1,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,"infection,"
A49.1,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,-1, 
A49.1,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,unspecified site
A49.2,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,0,"Haemophilus influenzae infection,"
A49.2,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,-1, 
A49.2,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,0,unspecified site
A50.9,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,0,"Congenital syphilis, "
A50.9,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,1, 
A50.9,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,0,unspecified
A53.0,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,0,"Latent syphilis,"
A53.0,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,-1, 
A53.0,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,0,unspecified as early or late
A53.9,"Syphilis, unspecified","Syphilis,unspecified",1,0,"Syphilis,"
A53.9,"Syphilis, unspecified","Syphilis,unspecified",1,-1, 
A53.9,"Syphilis, unspecified","Syphilis,unspecified",1,0,unspecified
A54.9,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,0,"Gonococcal infection,"
A54.9,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,-1, 
A54.9,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,0,unspecified
A56.2,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,0,"Chlamydial infection of genitourinary tract,"
A56.2,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,-1, 
A56.2,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,0,unspecified
A59.0,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,Urogen
A59.0,Urogenital trichomoniasis,Urogential trichomoniasis,2,-1,i
A59.0,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,t
A59.0,Urogenital trichomoniasis,Urogential trichomoniasis,2,1,i
A59.0,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,al trichomoniasis
A63.0,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,Anogen
A63.0,Anogenital (venereal) warts,Anogential (venereal) warts,2,-1,i
A63.0,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,t
A63.0,Anogenital (venereal) warts,Anogential (venereal) warts,2,1,i
A63.0,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,al (venereal) warts
A66.2,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,0,Other ear
A66.2,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,-1,l
A66.2,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,0,y skin lesions of yaws
A66.7,Other manifestations of yaws,Oher manifestations of yaws,1,0,O
A66.7,Other manifestations of yaws,Oher manifestations of yaws,1,-1,t
A66.7,Other manifestations of yaws,Oher manifestations of yaws,1,0,her manifestations of yaws
A69.1,Other Vincent infections,Other Vincent's infections,2,0,Other Vincent
A69.1,Other Vincent infections,Other Vincent's infections,2,1,'s
A69.1,Other Vincent infections,Other Vincent's infections,2,0, infections
A74.0,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,0,Chlamydial conjunctivitis (H13.1
A74.0,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,-1, 
A74.0,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,0,*)
A75.1,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0,Recrudescent typhus [Brill
A75.1,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,1,'s
A75.1,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0, disease
A75.1,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,1, 
A75.1,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0,]
A77.2,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,0,Spotted fever due to Rickettsia sib
A77.2,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,-1,i
A77.2,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,1,e
A77.2,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,0,rica
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0,"Acute paralytic poliomyelitis, wild virus"
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,-1,","
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0, 
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,1,","
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0,indigenous
A81.2,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,0,Progressive 
A81.2,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,1, 
A81.2,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,0,multifocal leukoencephalopathy
A85.0,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,0,Enteroviral encephalitis (G05.1
A85.0,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,-1, 
A85.0,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,0,*)
A85.1,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,Adenoviral encephalitis 
A85.1,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,1, 
A85.1,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,(G05.1
A85.1,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,-1, 
A85.1,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,*)
A87.0,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,0,Enteroviral meningitis (G02.0
A87.0,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,-1, *
A87.0,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,0,)
A87.1,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,0,Adenoviral meningitis (G02.0
A87.1,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,-1, *
A87.1,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,0,)
A97.2,Severe Dengue,Severe dengue,1,0,Severe 
A97.2,Severe Dengue,Severe dengue,1,-1,D
A97.2,Severe Dengue,Severe dengue,1,1,d
A97.2,Severe Dengue,Severe dengue,1,0,engue
B00.3,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,0,Herpesviral meningitis (G02.0
B00.3,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,-1, *
B00.3,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,0,)
