code,label,descruption,distance,specific,values
A,"Leprosy, unspecified","Leprosy ,unspecified",2,0,unspecified
A,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0,Listeriosis
A,"Listeriosis, unspecified","Listeriosis ,unspecified",2,-1,","
A,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0, 
A,"Listeriosis, unspecified","Listeriosis ,unspecified",2,1,","
A,"Listeriosis, unspecified","Listeriosis ,unspecified",2,0,unspecified
A,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0,Diphtheria
A,"Diphtheria, unspecified","Diphtheria ,unspecified",2,-1,","
A,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0, 
A,"Diphtheria, unspecified","Diphtheria ,unspecified",2,1,","
A,"Diphtheria, unspecified","Diphtheria ,unspecified",2,0,unspecified
A,"Whooping cough, unspecified","Whooping cough,unspecified",1,0,"Whooping cough,"
A,"Whooping cough, unspecified","Whooping cough,unspecified",1,-1, 
A,"Whooping cough, unspecified","Whooping cough,unspecified",1,0,unspecified
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,0,Meningococcal meningitis 
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,-1,(
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,1,[
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,0,G01
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,-1, *)
A,Meningococcal meningitis (G01 *),Meningococcal meningitis [G01*],3,1,*]
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,0,Waterhouse-Friderichsen syndrome 
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,-1,(
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,1,[
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,0,E35.1
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,-1, *)
A,Waterhouse-Friderichsen syndrome (E35.1 *),Waterhouse-Friderichsen syndrome [E35.1*],3,1,*]
A,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0,Meningococcaemia
A,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,-1,","
A,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0, 
A,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,1,","
A,"Meningococcaemia, unspecified","Meningococcaemia ,unspecified",2,0,unspecified
A,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,0,"Meningococcal infection,"
A,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,-1, 
A,"Meningococcal infection, unspecified","Meningococcal infection,unspecified",1,0,unspecified
A,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,0,Sepsis due to 
A,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,-1,S
A,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,1,s
A,Sepsis due to Streptococcus pneumoniae,Sepsis due to streptococcus pneumoniae,1,0,treptococcus pneumoniae
A,Other streptococcal sepsis,Other streptococcal Sepsis,1,0,Other streptococcal 
A,Other streptococcal sepsis,Other streptococcal Sepsis,1,-1,s
A,Other streptococcal sepsis,Other streptococcal Sepsis,1,1,S
A,Other streptococcal sepsis,Other streptococcal Sepsis,1,0,epsis
A,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,0,Streptococcal 
A,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,-1,s
A,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,1,S
A,"Streptococcal sepsis, unspecified","Streptococcal Sepsis, unspecified",1,0,"epsis, unspecified"
A,Other specified sepsis,Other specified Sepsis,1,0,Other specified 
A,Other specified sepsis,Other specified Sepsis,1,-1,s
A,Other specified sepsis,Other specified Sepsis,1,1,S
A,Other specified sepsis,Other specified Sepsis,1,0,epsis
A,Legionnaires disease,Legionnaires' disease,1,0,Legionnaires
A,Legionnaires disease,Legionnaires' disease,1,1,'
A,Legionnaires disease,Legionnaires' disease,1,0, disease
A,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,0,Nonpneumonic Legionnaires
A,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,1,'
A,Nonpneumonic Legionnaires disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever],1,0, disease [Pontiac fever]
A,Toxic shock syndrome,Tixic shock syndrome,1,0,T
A,Toxic shock syndrome,Tixic shock syndrome,1,-1,o
A,Toxic shock syndrome,Tixic shock syndrome,1,1,i
A,Toxic shock syndrome,Tixic shock syndrome,1,0,xic shock syndrome
A,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,0,"Staphylococcal infection,"
A,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,-1, 
A,"Staphylococcal infection, unspecified site","Staphylococcal infection,unspecified site",1,0,unspecified site
A,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,Streptococcal 
A,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,-1,and enterococcal 
A,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,"infection,"
A,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,-1, 
A,"Streptococcal and enterococcal infection, unspecified site","Streptococcal infection,unspecified site",18,0,unspecified site
A,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,0,"Haemophilus influenzae infection,"
A,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,-1, 
A,"Haemophilus influenzae infection, unspecified site","Haemophilus influenzae infection,unspecified site",1,0,unspecified site
A,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,0,"Congenital syphilis,"
A,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,1, 
A,"Congenital syphilis, unspecified","Congenital syphilis,  unspecified",1,0, unspecified
A,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,0,"Latent syphilis,"
A,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,-1, 
A,"Latent syphilis, unspecified as early or late","Latent syphilis,unspecified as early or late",1,0,unspecified as early or late
A,"Syphilis, unspecified","Syphilis,unspecified",1,0,"Syphilis,"
A,"Syphilis, unspecified","Syphilis,unspecified",1,-1, 
A,"Syphilis, unspecified","Syphilis,unspecified",1,0,unspecified
A,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,0,"Gonococcal infection,"
A,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,-1, 
A,"Gonococcal infection, unspecified","Gonococcal infection,unspecified",1,0,unspecified
A,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,0,"Chlamydial infection of genitourinary tract,"
A,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,-1, 
A,"Chlamydial infection of genitourinary tract, unspecified","Chlamydial infection of genitourinary tract,unspecified",1,0,unspecified
A,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,Urogen
A,Urogenital trichomoniasis,Urogential trichomoniasis,2,-1,i
A,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,t
A,Urogenital trichomoniasis,Urogential trichomoniasis,2,1,i
A,Urogenital trichomoniasis,Urogential trichomoniasis,2,0,al trichomoniasis
A,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,Anogen
A,Anogenital (venereal) warts,Anogential (venereal) warts,2,-1,i
A,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,t
A,Anogenital (venereal) warts,Anogential (venereal) warts,2,1,i
A,Anogenital (venereal) warts,Anogential (venereal) warts,2,0,al (venereal) warts
A,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,0,Other ear
A,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,-1,l
A,Other early skin lesions of yaws,Other eary skin lesions of yaws,1,0,y skin lesions of yaws
A,Other manifestations of yaws,Oher manifestations of yaws,1,0,O
A,Other manifestations of yaws,Oher manifestations of yaws,1,-1,t
A,Other manifestations of yaws,Oher manifestations of yaws,1,0,her manifestations of yaws
A,Other Vincent infections,Other Vincent's infections,2,0,Other Vincent
A,Other Vincent infections,Other Vincent's infections,2,1,'s
A,Other Vincent infections,Other Vincent's infections,2,0, infections
A,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,0,Chlamydial conjunctivitis (H13.1
A,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,-1, 
A,Chlamydial conjunctivitis (H13.1 *),Chlamydial conjunctivitis (H13.1*),1,0,*)
A,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0,Recrudescent typhus [Brill
A,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,1,'s
A,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0, disease
A,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,1, 
A,Recrudescent typhus [Brill disease],Recrudescent typhus [Brill's disease ],3,0,]
A,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,0,Spotted fever due to Rickettsia sib
A,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,-1,i
A,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,1,e
A,Spotted fever due to Rickettsia sibirica,Spotted fever due to Rickettsia siberica,1,0,rica
A,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0,"Acute paralytic poliomyelitis, wild virus"
A,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,-1,","
A,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0, 
A,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,1,","
A,"Acute paralytic poliomyelitis, wild virus, indigenous","Acute paralytic poliomyelitis, wild virus ,indigenous",2,0,indigenous
A,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,0,Progressive 
A,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,1, 
A,Progressive multifocal leukoencephalopathy,Progressive  multifocal leukoencephalopathy,1,0,multifocal leukoencephalopathy
A,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,0,Enteroviral encephalitis (G05.1
A,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,-1, 
A,Enteroviral encephalitis (G05.1 *),Enteroviral encephalitis (G05.1*),1,0,*)
A,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,Adenoviral encephalitis 
A,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,1, 
A,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,(G05.1
A,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,-1, 
A,Adenoviral encephalitis (G05.1 *),Adenoviral encephalitis  (G05.1*),2,0,*)
A,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,0,Enteroviral meningitis (G02.0
A,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,-1, *
A,Enteroviral meningitis (G02.0 *),Enteroviral meningitis (G02.0),2,0,)
A,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,0,Adenoviral meningitis (G02.0
A,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,-1, *
A,Adenoviral meningitis (G02.0 *),Adenoviral meningitis (G02.0),2,0,)
A,Severe Dengue,Severe dengue,1,0,Severe 
A,Severe Dengue,Severe dengue,1,-1,D
A,Severe Dengue,Severe dengue,1,1,d
A,Severe Dengue,Severe dengue,1,0,engue
B,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,0,Herpesviral meningitis (G02.0
B,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,-1, *
B,Herpesviral meningitis (G02.0 *),Herpesviral meningitis (G02.0),2,0,)
B,Herpesviral encephalitis (G05.1 *),Herpesviral encephalitis (G05.1),2,0,Herpesviral encephalitis (G05.1
B,Herpesviral encephalitis (G05.1 *),Herpesviral encephalitis (G05.1),2,-1, *
B,Herpesviral encephalitis (G05.1 *),Herpesviral encephalitis (G05.1),2,0,)
B,Varicella meningitis (G02.0 *),Varicella meningitis (G02.0),2,0,Varicella meningitis (G02.0
B,Varicella meningitis (G02.0 *),Varicella meningitis (G02.0),2,-1, *
B,Varicella meningitis (G02.0 *),Varicella meningitis (G02.0),2,0,)
B,Varicella encephalitis (G05.1 *),Varicella encephalitis (G05.1),2,0,Varicella encephalitis (G05.1
B,Varicella encephalitis (G05.1 *),Varicella encephalitis (G05.1),2,-1, *
B,Varicella encephalitis (G05.1 *),Varicella encephalitis (G05.1),2,0,)
B,Varicella pneumonia (J17.1 *),Varicella  pneumonia (J17.1*),2,0,Varicella 
B,Varicella pneumonia (J17.1 *),Varicella  pneumonia (J17.1*),2,1, 
B,Varicella pneumonia (J17.1 *),Varicella  pneumonia (J17.1*),2,0,pneumonia (J17.1
B,Varicella pneumonia (J17.1 *),Varicella  pneumonia (J17.1*),2,-1, 
B,Varicella pneumonia (J17.1 *),Varicella  pneumonia (J17.1*),2,0,*)
B,Zoster encephalitis (G05.1 *),Zoster encephalitis (G05.1*),1,0,Zoster encephalitis (G05.1
B,Zoster encephalitis (G05.1 *),Zoster encephalitis (G05.1*),1,-1, 
B,Zoster encephalitis (G05.1 *),Zoster encephalitis (G05.1*),1,0,*)
B,Zoster meningitis (G02.0 *),Zoster meningitis (G02.0*),1,0,Zoster meningitis (G02.0
B,Zoster meningitis (G02.0 *),Zoster meningitis (G02.0*),1,-1, 
B,Zoster meningitis (G02.0 *),Zoster meningitis (G02.0*),1,0,*)
B,Measles complicated by encephalitis (G05.1 *),Measles complicated by  encephalitis (G05.1*),2,0,Measles complicated by 
B,Measles complicated by encephalitis (G05.1 *),Measles complicated by  encephalitis (G05.1*),2,1, 
B,Measles complicated by encephalitis (G05.1 *),Measles complicated by  encephalitis (G05.1*),2,0,encephalitis (G05.1
B,Measles complicated by encephalitis (G05.1 *),Measles complicated by  encephalitis (G05.1*),2,-1, 
B,Measles complicated by encephalitis (G05.1 *),Measles complicated by  encephalitis (G05.1*),2,0,*)
B,Measles complicated by meningitis (G02.0 *),Measles complicated by meningitis (G02.0*),1,0,Measles complicated by meningitis (G02.0
B,Measles complicated by meningitis (G02.0 *),Measles complicated by meningitis (G02.0*),1,-1, 
B,Measles complicated by meningitis (G02.0 *),Measles complicated by meningitis (G02.0*),1,0,*)
B,Measles complicated by pneumonia (J17.1 *),Measles complicated by pneumonia (J17.1*),1,0,Measles complicated by pneumonia (J17.1
B,Measles complicated by pneumonia (J17.1 *),Measles complicated by pneumonia (J17.1*),1,-1, 
B,Measles complicated by pneumonia (J17.1 *),Measles complicated by pneumonia (J17.1*),1,0,*)
B,Measles complicated by otitis media (H67.1 *),Measles complicated by otitis media (H67.1*),1,0,Measles complicated by otitis media (H67.1
B,Measles complicated by otitis media (H67.1 *),Measles complicated by otitis media (H67.1*),1,-1, 
B,Measles complicated by otitis media (H67.1 *),Measles complicated by otitis media (H67.1*),1,0,*)
B,Acute delta-(super)infection of hepatitis B carrier,Acute delta-(super) infection of hepatitis B carrier,1,0,Acute delta-(super)
B,Acute delta-(super)infection of hepatitis B carrier,Acute delta-(super) infection of hepatitis B carrier,1,1, 
B,Acute delta-(super)infection of hepatitis B carrier,Acute delta-(super) infection of hepatitis B carrier,1,0,infection of hepatitis B carrier
B,HIV disease resulting in mycobacterial infection,HIV disease  resulting in mycobacterial infection,1,0,HIV disease 
B,HIV disease resulting in mycobacterial infection,HIV disease  resulting in mycobacterial infection,1,1, 
B,HIV disease resulting in mycobacterial infection,HIV disease  resulting in mycobacterial infection,1,0,resulting in mycobacterial infection
B,HIV disease resulting in other bacterial infections,HIV disease  resulting in other bacterial infections,1,0,HIV disease 
B,HIV disease resulting in other bacterial infections,HIV disease  resulting in other bacterial infections,1,1, 
B,HIV disease resulting in other bacterial infections,HIV disease  resulting in other bacterial infections,1,0,resulting in other bacterial infections
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,0,HIV disease 
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,1, 
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,0,resulting in cytomegaloviral dis
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,-1,e
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,0,a
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,1,e
B,HIV disease resulting in cytomegaloviral disease,HIV disease  resulting in cytomegaloviral disaese,3,0,se
B,HIV disease resulting in other viral infections,HIV disease  resulting in other viral infections,1,0,HIV disease 
B,HIV disease resulting in other viral infections,HIV disease  resulting in other viral infections,1,1, 
B,HIV disease resulting in other viral infections,HIV disease  resulting in other viral infections,1,0,resulting in other viral infections
B,HIV disease resulting in candidiasis,HIV disease  resulting in candidiasis,1,0,HIV disease 
B,HIV disease resulting in candidiasis,HIV disease  resulting in candidiasis,1,1, 
B,HIV disease resulting in candidiasis,HIV disease  resulting in candidiasis,1,0,resulting in candidiasis
B,HIV disease resulting in other mycoses,HIV disease  resulting in other mycoses,1,0,HIV disease 
B,HIV disease resulting in other mycoses,HIV disease  resulting in other mycoses,1,1, 
B,HIV disease resulting in other mycoses,HIV disease  resulting in other mycoses,1,0,resulting in other mycoses
B,HIV disease resulting in multiple infections,HIV disease  resulting in multiple infections,1,0,HIV disease 
B,HIV disease resulting in multiple infections,HIV disease  resulting in multiple infections,1,1, 
B,HIV disease resulting in multiple infections,HIV disease  resulting in multiple infections,1,0,resulting in multiple infections
B,HIV disease resulting in other infectious and parasitic diseases,HIV disease  resulting in other infectious and parasitic diseases,1,0,HIV disease 
B,HIV disease resulting in other infectious and parasitic diseases,HIV disease  resulting in other infectious and parasitic diseases,1,1, 
B,HIV disease resulting in other infectious and parasitic diseases,HIV disease  resulting in other infectious and parasitic diseases,1,0,resulting in other infectious and parasitic diseases
B,HIV disease resulting in unspecified infectious or parasitic disease,HIV disease  resulting in unspecified infectious or parasitic disease,1,0,HIV disease 
B,HIV disease resulting in unspecified infectious or parasitic disease,HIV disease  resulting in unspecified infectious or parasitic disease,1,1, 
B,HIV disease resulting in unspecified infectious or parasitic disease,HIV disease  resulting in unspecified infectious or parasitic disease,1,0,resulting in unspecified infectious or parasitic disease
B,HIV disease resulting in Kaposi sarcoma,HIV disease  resulting in Kaposi sarcoma,1,0,HIV disease 
B,HIV disease resulting in Kaposi sarcoma,HIV disease  resulting in Kaposi sarcoma,1,1, 
B,HIV disease resulting in Kaposi sarcoma,HIV disease  resulting in Kaposi sarcoma,1,0,resulting in Kaposi sarcoma
B,HIV disease resulting in Burkitt lymphoma,HIV disease  resulting in Burkitt lymphoma,1,0,HIV disease 
B,HIV disease resulting in Burkitt lymphoma,HIV disease  resulting in Burkitt lymphoma,1,1, 
B,HIV disease resulting in Burkitt lymphoma,HIV disease  resulting in Burkitt lymphoma,1,0,resulting in Burkitt lymphoma
B,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease  resulting in other types of non-Hodgkin's lymphoma,3,0,HIV disease 
B,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease  resulting in other types of non-Hodgkin's lymphoma,3,1, 
B,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease  resulting in other types of non-Hodgkin's lymphoma,3,0,resulting in other types of non-Hodgkin
B,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease  resulting in other types of non-Hodgkin's lymphoma,3,1,'s
B,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV disease  resulting in other types of non-Hodgkin's lymphoma,3,0, lymphoma
B,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue","HIV disease  resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",1,0,HIV disease 
B,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue","HIV disease  resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",1,1, 
B,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue","HIV disease  resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",1,0,"resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B,HIV disease resulting in multiple malignant neoplasms,HIV disease  resulting in multiple malignant neoplasms,1,0,HIV disease 
B,HIV disease resulting in multiple malignant neoplasms,HIV disease  resulting in multiple malignant neoplasms,1,1, 
B,HIV disease resulting in multiple malignant neoplasms,HIV disease  resulting in multiple malignant neoplasms,1,0,resulting in multiple malignant neoplasms
B,HIV disease resulting in other malignant neoplasms,HIV disease  resulting in other malignant neoplasms,1,0,HIV disease 
B,HIV disease resulting in other malignant neoplasms,HIV disease  resulting in other malignant neoplasms,1,1, 
